Materialnummer;Materialkurztext;Werk;Menge;Mengeneinheit;Buchungsdatum;Bewegungsart
000000000001000201;HSD Diesel - Bulk;IN01;12.450,75;L;05.01.2025;101
000000000001000201;HSD Diesel - Bulk;IN01;9.832,00;L;19.01.2025;101
000000000001000202;MS Petrol Regular;IN01;1.245,50;L;12.01.2025;101
000000000001000201;HSD Diesel - Bulk;IN02;18.220,30;L;08.01.2025;101
000000000001000305;LPG Cylinders 19kg;IN02;456,000;KG;15.01.2025;101
000000000001000410;Diesel HSD Premium;DE07;5.420,80;L;22.01.2025;101
000000000001000411;Erdgas (Natural Gas);DE07;1.250,000;M3;28.01.2025;101
000000000001000201;HSD Diesel - Bulk;IN01;11.890,25;L;05.02.2025;101
000000000001000201;HSD Diesel - Bulk;IN02;15.770,90;L;10.02.2025;101
000000000001000305;LPG Cylinders 19kg;IN01;608,000;KG;14.02.2025;101
000000000001000202;MS Petrol Regular;IN01;980,45;L;20.02.2025;101
000000000001000410;Diesel HSD Premium;DE07;6.115,20;L;25.02.2025;101
000000000001000201;HSD Diesel - Bulk;US12;8.945,60;L;03.03.2025;101
000000000001000201;HSD Diesel - Bulk;IN01;13.220,55;L;07.03.2025;101
000000000001000201;HSD Diesel - Bulk;IN02;19.450,00;L;14.03.2025;101
000000000001000900;Office Stationery;IN01;125,00;EA;15.03.2025;101
000000000001000305;LPG Cylinders 19kg;IN02;532,000;KG;18.03.2025;101
000000000001000410;Diesel HSD Premium;DE07;7.220,15;L;22.03.2025;101
000000000001000411;Erdgas (Natural Gas);DE07;1.480,000;M3;28.03.2025;101
000000000001000299;Unidentified Lubricant;UNKNOWN;240,50;FU;30.03.2025;101
